Participant,Item,Preview,Predictability,Condition,FFD,GD
y2,5,V,H,VH,191,191
y2,6,V,H,VH,NA,NA
y2,7,V,H,VH,169,169
y2,8,V,H,VH,260,260
y2,9,V,H,VH,159,159
y2,10,V,H,VH,NA,NA
y2,11,V,H,VH,NA,NA
y2,12,V,H,VH,NA,NA
y2,13,V,H,VH,NA,NA
y2,14,V,H,VH,194,194
y2,15,V,H,VH,192,192
y2,16,V,H,VH,167,167
y2,17,V,H,VH,NA,NA
y2,18,V,H,VH,NA,NA
y2,19,V,H,VH,171,277
y2,20,V,H,VH,260,260
y2,22,I,L,IL,129,693
y2,23,I,L,IL,428,428
y2,24,I,L,IL,397,397
y2,25,I,L,IL,NA,NA
y2,26,I,L,IL,355,355
y2,27,I,L,IL,255,255
y2,28,I,L,IL,319,319
y2,29,I,L,IL,136,136
y2,30,I,L,IL,203,203
y2,31,I,L,IL,323,323
y2,32,I,L,IL,346,346
y2,33,I,L,IL,323,323
y2,34,I,L,IL,266,266
y2,35,I,L,IL,323,323
y2,37,I,L,IL,253,253
y2,38,I,L,IL,339,339
y2,39,I,L,IL,358,358
y2,40,I,L,IL,755,755
y2,41,V,L,VL,361,361
y2,43,V,L,VL,192,192
y2,44,V,L,VL,611,611
y2,45,V,L,VL,203,203
y2,46,V,L,VL,NA,NA
y2,47,V,L,VL,228,228
y2,49,V,L,VL,NA,NA
y2,50,V,L,VL,219,219
y2,51,V,L,VL,267,267
y2,52,V,L,VL,168,168
y2,53,V,L,VL,190,190
y2,55,V,L,VL,141,141
y2,56,V,L,VL,232,232
y2,57,V,L,VL,310,310
y2,58,V,L,VL,163,163
y2,59,V,L,VL,366,366
y2,60,V,L,VL,236,236
y2,61,I,H,IH,303,303
y2,63,I,H,IH,504,504
y2,64,I,H,IH,316,316
y2,65,I,H,IH,311,311
y2,66,I,H,IH,370,370
y2,67,I,H,IH,313,313
y2,68,I,H,IH,294,294
y2,70,I,H,IH,268,515
y2,71,I,H,IH,279,279
y2,72,I,H,IH,160,998
y2,73,I,H,IH,253,253
y2,74,I,H,IH,347,347
y2,75,I,H,IH,381,381
y2,76,I,H,IH,183,183
y2,77,I,H,IH,322,322
y2,79,I,H,IH,247,247
y20dxw,1,V,L,VL,345,345
y20dxw,4,V,L,VL,352,352
y20dxw,5,V,L,VL,301,454
y20dxw,6,V,L,VL,197,197
y20dxw,7,V,L,VL,313,313
y20dxw,8,V,L,VL,203,203
y20dxw,9,V,L,VL,356,356
y20dxw,10,V,L,VL,197,465
y20dxw,11,V,L,VL,235,235
y20dxw,12,V,L,VL,244,244
y20dxw,13,V,L,VL,212,780
y20dxw,14,V,L,VL,118,118
y20dxw,15,V,L,VL,94,94
y20dxw,17,V,L,VL,180,180
y20dxw,18,V,L,VL,201,201
y20dxw,19,V,L,VL,134,134
y20dxw,20,V,L,VL,217,217
y20dxw,21,I,H,IH,310,457
y20dxw,22,I,H,IH,428,670
y20dxw,24,I,H,IH,319,464
y20dxw,25,I,H,IH,367,544
y20dxw,26,I,H,IH,531,823
y20dxw,27,I,H,IH,347,721
y20dxw,28,I,H,IH,299,427
y20dxw,31,I,H,IH,332,488
y20dxw,32,I,H,IH,336,569
y20dxw,33,I,H,IH,334,493
y20dxw,34,I,H,IH,286,448
y20dxw,35,I,H,IH,192,601
y20dxw,36,I,H,IH,285,522
y20dxw,38,I,H,IH,286,543
y20dxw,39,I,H,IH,373,602
y20dxw,40,I,H,IH,447,447
y20dxw,41,V,H,VH,258,447
y20dxw,42,V,H,VH,96,199
y20dxw,43,V,H,VH,171,298
y20dxw,44,V,H,VH,151,151
y20dxw,46,V,H,VH,260,260
y20dxw,47,V,H,VH,135,135
y20dxw,48,V,H,VH,265,265
y20dxw,49,V,H,VH,NA,NA
y20dxw,50,V,H,VH,140,297
y20dxw,51,V,H,VH,241,241
y20dxw,52,V,H,VH,218,218
y20dxw,53,V,H,VH,237,237
y20dxw,54,V,H,VH,279,279
y20dxw,55,V,H,VH,209,209
y20dxw,56,V,H,VH,NA,NA
y20dxw,57,V,H,VH,221,221
y20dxw,58,V,H,VH,181,181
y20dxw,61,I,L,IL,326,326
y20dxw,62,I,L,IL,341,555
y20dxw,63,I,L,IL,335,335
y20dxw,65,I,L,IL,466,466
y20dxw,66,I,L,IL,286,476
y20dxw,67,I,L,IL,344,505
y20dxw,68,I,L,IL,494,724
y20dxw,69,I,L,IL,513,513
y20dxw,70,I,L,IL,294,526
y20dxw,71,I,L,IL,509,509
y20dxw,72,I,L,IL,389,561
y20dxw,73,I,L,IL,571,571
y20dxw,74,I,L,IL,171,646
y20dxw,75,I,L,IL,309,503
y20dxw,76,I,L,IL,273,273
y20dxw,78,I,L,IL,371,543
y20dxw,79,I,L,IL,276,361
y20dxw,80,I,L,IL,635,814
y21ty,2,I,H,IH,289,289
